IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP281;IP_PROP282;IP_PROP283;IP_PROP284;IP_PROP285;IC_GROUP0;IC_GROUP1;IC_GROUP2
1310;"Выставка ""Книжный мир - 2007""";336;Y;05.10.2009;;;"С 15.03.2007 по 17.03.2007 в Краснодаре пройдет 3-я специализированная выставка книжной продукции &quot;Книжный мир - 2007&quot;.
<br />
 ";html;;"
<p>С 15.03.2007 по 17.03.2007 в Краснодаре пройдет 3-я специализированная выставка книжной продукции &quot;Книжный мир - 2007&quot;. </p>

<p>Cпециализированная выставка издательств, книготорговых компаний, книжной и полиграфической продукции.Учебно-методическая литература, пособия; учебники и специализированные издания; научная литература; справочники, словари, энциклопедии; художественная литература; детская литература (сказки, развивающие пособия); газеты, журналы; календари, альбомы, открытки; канцелярские принадлежности; школьно-письменные принадлежности; бумажно-беловая продукция.</p>

<p><b>Место проведения:</b> Выставочный Центр &quot;КраснодарЭкспо&quot;, ул. Зиповская, 5</p>

<p>Выставка проходит в рамках Форума <b>&quot;Создай себя сам&quot;</b></p>

<p><b>Организаторы выставки:</b>
  <br />
 Выставочный Центр &quot;КраснодарЭКСПО&quot;
  <br />
 Администрация Краснодарского края
  <br />
 Департамент образования и науки Краснодарского края
  <br />
 Департамент культуры Краснодарского края
  <br />
 Департамент по физической культуре и спорту Краснодарского края
  <br />
 Департамент здравоохранения Краснодарского края
  <br />
 Департамент федеральной государственной службы занятости населения по Краснодарскому краю
  <br />
 Комитет по делам молодежи Краснодарского края</p>
 ";html;;500;выставка;;;выставка;79;;Выставки;;
1698;"Выставка ""Книги России""";339;Y;06.10.2009;;;"Традиционный весенний форум отечественных книжников - Национальная выставка-ярмарка &laquo;Книги России&raquo; проходит на территории Всероссийского выставочного центра с 1998 года. В этом году выставка проходит с 14 по 19 марта. ";html;;"<p>Деловое мероприятие, традиционно ориентированное на продвижение издательской продукции накануне весенне-летнего сезона, выставка весьма положительно сказывается на торговой судьбе новинок, которые должны поступить в продажу в течение лета и осени.</p>

<p>Участники выставки &ndash; книгораспространители, издатели, полиграфисты, библиотекари, изготовители бумаги, финансисты (около 1000 организаций) оборудуют свои экспозиции на площади в 10 000 квадратных метров, представив до 200 000 наименований книг на языках народов Российской Федерации. </p>

<p>Оргкомитет выставки ведет твердую линию по поддержке регионального книгоиздания. Именно поэтому все региональные издатели получают возможность представить свои книги на специальных коллективных стендах. В числе этих экспозиций &ndash; коллективный стенд региональных и национальных издательств России, выставка изданий для профессионального образования. </p>

<p>Особый интерес журналистов и читателей вызовет традиционный стенд &laquo;Российские литературные журналы&raquo;, на котором представлены &laquo;Новый мир&raquo;, &laquo;Знамя&raquo;, &laquo;Октябрь&raquo; и другие &laquo;толстые&raquo; журналы, специальная авторская программа которых предусматривает встречи лучших авторов со своими преданными читателями. </p>

<p>Издательства России также представят разнообразную и насыщенную деловую программу: презентации, круглые столы, встречи с авторами. В рамках выставки-ярмарки многие издательства по традиции приглашает своих самых знаменитых авторов, встречи с которыми выливаются в праздник духовного общения книголюбов и писателей. </p>

<p>Состояние чтения отражает состояние общества, а состояние детского чтения показывает отношение общества к своему будущему. Именно поэтому в рамках Национальной ярмарки постоянно предусматривается большое количество деловых мероприятий, посвященных проблемам детского чтения, детского книгоиздания. </p>

<p>Национальная ярмарка &ndash; прекрасный испытательный полигон, позволяющий протестировать российский издательский бизнес, проверить соответствие отечественного книгоиздания международному уровню и объединить российских книжников в сообщество подлинных профессионалов. </p>
 ";html;;500;выставка книги;;;выставка книги;79;;Выставки;;
1732;"Выставка ""PostPrint - 2007""";341;Y;06.10.2009;;;Торговая выставка книгопечатания. ;html;;"
<p>С 25.04.2007 по 27.04.2007 в Берлине (Германия) пройдет торговая выставка книгопечатания.</p>

<p>Организаторы выставки: <strong>Messe Berlin GmbH</strong></p>

<p>Рубрика: <strong>Рекламная и издательская деятельность</strong></p>

<p>Место проведения: <strong>Messegelande</strong></p>

<p>Выставка <b>PostPrint</b> сосредотачивается на печати и распределении. Преимущество состоит в том, что всестороннее понятие выставки теперь включает все стадии технологического процесса печати (планирование, цифровая печать, бумага, распределение).</p>

<p><strong>Основные тематические разделы</strong>:</p>

<ul>
  <li>Маркировка </li>

  <li>Обработка бумаги </li>

  <li>Печать </li>

  <li>Программное обеспечение </li>
</ul>
";html;;500;выставка;;;выставка;79;;Выставки;;
1302;Доставка книг;333;Y;02.10.2009;;;Доставка книг возможна по почте во все регионы России. ;html;;"Доставка товаров по Москве.<br><br>1. Доставка книг осуществляется на следующий рабочий день после оплаты. По возможности, мы стараемся доставлять книги в день заказа.<br>2. Доставка работает ежедневно с 11 до 19 часов. В субботу и воскресенье до 16 часов.<br>3. Время доставки сотрудник службы доставки согласует с Вами по телефону.<br>4. Доставка по Москве БЕСПЛАТНАЯ. Заказанные книги принесут Вам домой до двери.<br>5. Доставка товаров по Московской области осуществляется по определенным тарифам.<br><br>Доставка товаров по России.<br><br>1. Доставка товаров за пределы Московской области осуществляется транспортными компаниями.<br>2. Стоимость доставки зависит от веса и объема товара, а также от типа доставки.<br>3. В стоимость доставки заказа включается страховка.<br>4. Срок выполнения доставки зависит от типа доставки и города. Заказ передается на доставку транспортной компании на следующий день после получения денег.<br>5. Счет с полной стоимостью заказа &#40;сумма товаров &#43; стоимость доставки &#43; страховка&#41; высылается в течение рабочего дня по электронной почте или по факсу.<br>6. Вы можете оплатить счет в любом &#40;или предложенном в счете&#41; отделении Сбербанка для частных лиц или через свой расчетный счет для организаций.<br>7. Для своевременного резервирования товара вышлите нам копии платежных документов по электронной почте или по факсу.";html;;500;доставка книг;;;доставка книг;80;;Доставка и поиск;;
1306;Google отсканирует 30 млн книг;335;Y;04.10.2009;;;Компания Google намерена приложить большие усилия для совершенствования своей системы поиска книг Google Book Search. ;html;/upload/iblock/367/p95jt9cjf4zkckk78yv4eu1sfk13k31t/google.jpg;Компания Google намерена приложить большие усилия для совершенствования своей системы поиска книг Google Book Search. <br><br>В рамках данной инициативы компания Google осуществляет сканирование книг, которые хранятся в Нью-Йоркской публичной библиотеке, а также библиотеках Стенфордского, Гарвардского, Мичиганского и Оксфордского университетов. На сегодня отсканированы примерно миллион книг.<br><br>Защищенные копирайтом материалы пользователи полностью просматривать не могут. Книжный поисковик предлагает доступ и к полным текстам, однако это касается лишь тех произведений, которые не защищены авторским правом. <br><br>Предполагается, что в цифровой вид будут переведены до 30 млн книг. Google обещает, что вскоре пользователи Google Book Search смогут покупать книги для просмотра непосредственно в окне браузера, причем их копирование и распечатка будут запрещены. <br><br>Одновременно с книжным бизнесом Google, как отмечает Hollywood Reporter, намерена развивать и видеосервисы. В первую очередь, это касается служб Google Video и YouTube. Причем в компании Google подчеркивают, что система Google Video предназначена для поиска видео в интернете, тогда как сервис YouTube позволяет размещать и просматривать ролики, в том числе любительские. Иными словами, поскольку Google Video и YouTube выполняют различные функции, они не должны мешать работе друг друга. <br><br>Google также уделяет внимание рынку видеорекламы. Нужно отметить, что большую часть доходов Google получает именно от размещения рекламных ссылок в результатах поиска. Отображение анимированных рекламных объявлений и видеороликов, теоретически, позволит Google увеличить прибыль.;html;;500;Google книги;;science.compulenta.ru ;Google книги;82;;Доставка и поиск;;
1304;Названы лучшие книги и издательства 2006 года;334;Y;03.10.2009;;;"В Российской государственной библиотеке (РГБ) состоялась церемония вручения премий &quot;Лучшие книги и издательства года&quot;, сообщает РИА &quot;Новости&quot;.";html;;"В Российской государственной библиотеке &#40;РГБ&#41; состоялась церемония вручения премий &quot;Лучшие книги и издательства года&quot;, сообщает РИА &quot;Новости&quot;.<br><br>Премий были удостоены Евгений Примаков &#40;мемуары &quot;Минное поле политики&quot;&#41;, кардиохирург Лео Бокерия &#40;&quot;Здоровье России&quot;, &quot;Социально-значимые болезни в Российской Федерации&quot;&#41;, историк Анатолий Смирнов &#40;жизнеописание Карамзина&#41;, Владимир и Сергей Луневы &#40;иллюстрированная история Святогорской лавры &quot;Путь к Истине&quot;&#41;, юрист Александр Звягинцев &#40;&quot;Нюрнбергский набат&quot;&#41;, директор издательства &quot;Росспэн&quot; Андрей Сорокин &#40;энциклопедия &quot;Государственная Дума России 1906-2006&quot;&#41;.<br><br>Лауреатами стали также писатель Анатолий Салуцкий &#40;роман &quot;Из России с любовью&quot;&#41;, историк Александр Боханов &#40;цикл книг по истории России&#41;, политолог Вячеслав Кеворков &#40;&quot;Исповедь перед казнью. Из воспоминаний следователя по особо важным делам МГБ СССР&quot;&#41;, доктор биологических наук Марина Бобкова &#40;исследование &quot;Иммунитет и ВИЧ-инфекция&quot;&#41;, настоятель Сретенского монастыря архимандрит Тихон &#40;Шевкунов&#41; за издание религиозной литературы, писатель Владимир Бутромеев &#40;энциклопедический справочник &quot;Символ власти&quot;&#41;.<br><br>Лучшими издательствами названы &quot;Молодая гвардия&quot;, &quot;Эксмо&quot;, &quot;Правда Севера&quot;, Тюменского государственного университета, центр &quot;Учебная книга&quot; &#40;Екатеринбург&#41;, &quot;Русский путь&quot;, Пушкинский фонд &quot;Классика&quot;.<br><br>&quot;Особенность нынешнего награждения состоит в том, что жюри обращает внимание на книги, символизирующие преемственность отечественной истории&quot;, - сказал, открывая церемонию председатель жюри, генеральный директор Русского биографического института Святослав Рыбас. &quot;Мы хотим этим сказать нашему обществу: пора более взвешено относиться к собственной истории и перестать рассматривать ее как поле брани&quot;, - подчеркнул он.<br><br>В свою очередь директор РГБ Виктор Федоров заявил, что книгоиздание в России успешно развивается и по числу названий изданных книг уже достигло уровня СССР.<br><br>Премия &quot;Лучшие книги и издательства года&quot;, девизом которой является &quot;Благородство, красота, общественная польза&quot;, учреждена пять лет назад Русским биографическим институтом, Российской государственной библиотекой и &quot;Литературной газетой&quot;.";html;;500;лучшие книги издательства;;NEWSru.com;лучшие книги издательства;81;;Книги и авторы;;
1317;Самые популярные авторы;337;Y;06.10.2009;;;"Известен список&nbsp;популярных авторов за последний год. Пятерка лучших:&nbsp;Б. Акунин, Л.П. Франкел, А. Карр, С. Минаев, А. Гавальда.";html;;"
<p>Известен список&nbsp;популярных авторов за последний год:</p>

<ul>
  <li><strong>Борис Акунин</strong> - псевдоним писателя, литературоведа и переводчика Григория Шалвовича Чхартишвили, под которым он публикует детективные произведения о сыщике Эрасте Фандорине. Родился писатель в Грузии в 1956 году. С 1958 года живет в Москве. Закончил историко-филологическое отделение Института стран Азии и Африки (МГУ). Заместитель главного редактора журнала &quot;Иностранная литература&quot;, главный редактор 20-томной &quot;Антологии японской литературы&quot;, председатель правления мегапроекта &quot;Пушкинская библиотека&quot; (Фонд Сороса). Автор книги &quot;Писатель и самоубийство&quot; (М.: Новое литературное обозрение, 1999), литературно-критических статей, переводов японской, американской и английской литературы (Юкио Мисима, Кэндзи Маруяма, Ясуси Иноуэ, КорагессанБойл, Малкольм Брэдбери, Питер Устинов и др.).
    <br />
  </li>

  <li><strong>Лоис П. Франкел (Lois P. Frankel) </strong>- не только ведущий специалист по подготовке персонала, но и один из пионеров в этой области. Основываясь на десятилетнем опыте работы в нефтяной компании и собственных наблюдениях, Франкел организовала международную фирму по тренировке персонала &quot;Корпорейт Коучинг Интернешнл&quot;. Как консультант работала компаниями &quot;Миллер&quot;, &quot;Уолт Дисней&quot;, &quot;Локхид Мартин&quot;, газетой &quot;Голливуд репортер&quot; и многими другими организациями. Является автором ряда книг по практической философии: &quot;Женщины, гнев и депрессия&quot;, &quot;Начни свою карьеру&quot;, &quot;Превосходя ваши силы&quot;. Ее книги &quot;Хорошие девочки не добиваются успеха в бизнесе&quot; и &quot;Хорошие девочки не становятся богатыми&quot; стали бестселлерами во многих странах и переведены на более чем двадцать языков. Постоянный участник различных конференций и международных симпозиумов, Франкел также работает с общественными некоммерческими организациями. Член Американской Психологической Ассоциации, Национальной Ассоциации Спикеров и Общества управления человеческими ресурсами, имеет степень доктора психологии Южно- Калифорнийского Университета.
    <br />
  </li>

  <li><strong>Аллен Карр (Allen Carr)</strong> - oдин из самых активных и известных борцов с курением, чьи книги разошлись по всему миру многомиллионными тиражами. Благодаря разработанному им методу и его книгам миллионы людей во всем мире нашли в себе силы избавиться от никотиновой зависимости. Среди его клиентов были такие знаменитости как актер Энтони Хопкинс и известный британский предприниматель-миллиардер Ричард Брэнсон. Несмотря на многолетний его отказ от курения, в июле 2006 года врачи диагностировали у Аллена Кара не подлежащий операции рак легких. Узнав об этом, Карр заявил: &quot;По моим оценкам, я вылечил двадцать пять миллионов человек за эти годы. И если моя болезнь - расплата за это, то я готов заплатить&quot;. Аллен Карр ушел из жизни в том же году - 26 ноября он скончался в собственном доме на побережье Коста-дель-Соль в городе Малага в Испании.
    <br />
  </li>

  <li><strong>Сергей Минаев</strong> - известный бизнесмен и публицист. Очень популярен как сетевой писатель. Дебютный роман &quot;Духless&quot; с первых дней выхода в свет стал лидером продаж.
    <br />
  </li>

  <li><strong>Анна Гавальда (Anna Gavalda) -&nbsp;</strong> училась в Сорбонне, работала кассиршей и официанткой, занималась журналистикой. В 1992 году победила в национальном конкурсе на лучшее любовное письмо. В 1998 году она завоевала премию &quot;Кровь в чернильнице&quot; за новеллу &quot;Aristote&quot; и победила еще в двух литературных конкурсах. В 1999 году вышла книга Анны Гавальды &quot;Мне бы хотелось, чтоб меня кто-нибудь где-нибудь ждал&hellip;&quot;, удостоенная в 2000 году Гран-при RTL. Этот сборник новелл в течение следующих четырех лет был переведен почти на 30 языков и принес своему автору славу новой звезды французской словесности. В 2002 году вышел первый роман Гавальды - &quot;Я его любила&quot;, а в следующем году она продолжает работу над романом &quot;Ensemble, c'est tout&quot;. Анна Гавальда живет на юго-востоке Парижа, пишет каждый день по три часа и воспитывает двух детей.
    <br />
  </li>
</ul>
";html;;500;лучший автор;;;лучший автор;81;;Книги и авторы;;
1730;Российские писатели вошли в список молодых литературных талантов США;340;Y;06.10.2009;;;Авторитетный в англоязычном литературном мире британский журнал Granta составил новый перечень наиболее многообещающих молодых писателей США. В него вошли и писатели русского происхождения. ;html;;"
<p>Авторитетный в англоязычном литературном мире британский журнал Granta составил новый перечень наиболее многообещающих молодых писателей США. В него вошли и писатели русского происхождения &ndash; это москвичка Ольга Грушина, живущая и работающая теперь в Вашингтоне, и бывший ленинградец Гэри Штейнгарт, обосновавшийся на Манхэттене. Презентация журнала с новым престижным перечнем состоялась на днях в Нью-Йорке. </p>

<p>В течение года компетентное жюри в составе шести человек, писателей, публицистов и редакторов, читали и выбирали молодых &quot;звезд&quot; американской литературы. Всего в новом интернациональном списке журнала Granta значатся имена 21 писателя в возрасте до 35 лет, говорится на сайте журнала. Наряду с представителями США в нем значатся, например, уроженцы Дели, Лимы и Пекина, а также чикагский таец и вашингтонский нигериец. </p>

<p>Ольга Грушина, американская писательница русского происхождения, проживающая в США с 1989 года, дебютировала с написанным на английском языке романом &quot;Жизнь Суханова в сновидениях&quot; (&quot;The Dream Life of Sukhanov&quot;) в прошлом году. Он был опубликован в издательстве G. P. Putnams Sons. </p>

<p>Книга получила очень высокие отзывы от критиков из ведущих американских и британских изданий - от The New York Times до The Independent. Он вошел в сотню &quot;самых заметных книг 2006 года&quot; по версии газеты The New York Times. Эта американская газета, рецензии которой считаются одними из самых влиятельных в США, ежегодно составляет перечень самых ярких книг. В 2006 году роман был номинирован на британскую литературную премию Orange Prize. </p>

<p>Штейнгарт известен, как автор романов &quot;Абсурдистан&quot; и &quot;Пособие для русского дебютанта&quot;, передает ИТАР-ТАСС. Книга также издана на английском языке. </p>

<p>Предыдущий список журнал Granta составлял в 1996 году - он оказался во многом пророческим. Британский Observer называет лист Granta &quot;списком, который определяет литературную повестку для целого поколения&quot;. </p>

<p>Литературный журнал был основан в 1889 году в Кембридже и носит имя реки, протекающей через университетский городок. С 1979 года он выходит в обновленном формате - как ежеквартальный вестник новой литературы и эссеистики. </p>

<p>Наряду с молодыми авторами на его страницах печатались такие корифеи, как Мартин Эмис, Сол Беллоу, Милан Кундера, Габриэль Гарсиа Маркес и другие. Один из номеров новой Granta в 1998 году был целиком посвящен России. </p>
";html;;500;авторы;;;авторы;81;;Книги и авторы;;
1300;Конкурс на лучшую рецензию;332;Y;01.10.2009;;;Сегодняшняя дата - официальное начало конкурса на лучшую рецензию на любую из книг нашего каталога. ;html;;"Конкурс проводится со 2 марта по 2 июня 2007 года. Окончание приема заявок 1 июня, 2 июня - объявление итогов конкурса.<br><br>Жюри оценивает рецензии на книги, представленные в каталоге на нашем сайте.&nbsp;&nbsp;<br><br>Все присланные Вами рецензии будут переданы на суд компетентного жюри, в состав которого входят редакторы популярных изданий, писатели, дизайнеры издательских домов. <br><br>Жюри оценивает талантливость рецензии, ее остроумие, литературные достоинства. Отношение автора к рецензируемой книге и характер рецензии &#40;положительный, отрицательный, амбивалентный&#41; значения не имеет и критерием оценки не является. <br><br>Количество рецензий, представленных одним автором не ограничено. <br><br>Победителям конкурса будут вручены призы: комплекты книг от издательства &quot;Книжный дом&quot;.";html;;500;конкурс рецензия;;;конкурс рецензия;81;;Конкурсы;;
1685;"Конкурс ""Книга будущего""";338;Y;06.10.2009;;;"Журнал &quot;Самиздат&quot; объявляет о проведении конкурса &quot;Книга будущего&quot;, который пройдет с 15.03.2007 по 1.06.2007. ";html;;"
<p>Основные положения конкурса:</p>

<ul>
  <li>работы принимаются с 15.03.2007 по 15.05.2007; </li>

  <li>рассматривается одна работа от одного автора; </li>

  <li>работы, участвовавщие в других конкурсах не принимаются; </li>

  <li>не принимаются работы с ненормативной лексикой. </li>
</ul>

<p>Работы, присланные позже указанного срока проведения конкурса не рассматриваются.</p>

<p>В состав жюри входят редакторы журнала, писатели-фантасты.&nbsp;Каждый член жюри оценивает работу по десятибальной системе.&nbsp;Победителями считаются работы, набравшие наибольшее количество баллов.</p>

<p>Победителям конкурса будут вручены призы от журнала &quot;Самиздат&quot;.</p>
";html;;500;конкурс книга;;;конкурс книга;80;;Конкурсы;;
